date,stock_code,stock_name,track,note,concept_tag,sw_l2,sw_l3,broad_index,style,market,long_list,short_list,watch_list,holding_list,peer_list
2025-07-11,000333.SZ,美的集团,消费,"沪深300、美就退 景顺绝无可重仓、大成基金刘旭重仓",白色家电,家用电器,白色家电,"沪深300,A500",价值,A,Y,Y,Y,Y,Y
2025-07-11,000568.SZ,泸州老窖,消费,沪深300,白酒,食品饮料,白酒,"沪深300,A500",价值,A,Y,Y,Y,,Y
2025-07-11,000596.SZ,古井贡酒,消费,沪深300,白酒,食品饮料,白酒,沪深300,价值,A,Y,Y,Y,,Y
2025-07-11,000625.SZ,长安汽车,消费,沪深300,乘用车,汽车,乘用车,沪深300,价值,A,Y,Y,Y,,Y
2025-07-11,000651.SZ,格力电器,消费,"高股息 沪深300、美诚 中证红利ETF、大成基金刘旭重仓",白色家电,家用电器,白色家电,"沪深300,A500",价值,A,Y,Y,Y,Y,Y
2025-07-11,000858.SZ,五粮液,消费,"沪深300、美诚",白酒,食品饮料,白酒,"沪深300,A500",价值,A,Y,Y,Y,Y
2025-07-11,002003.SZ,伟星股份,消费,"中证1000 中证红利ETF",纺织制造,纺织服饰,纺织制造,中证1000,价值,A,Y,Y,Y,,Y
2025-07-11,002027.SZ,分众传媒,消费,"沪深300 邓晓峰",广告营销,传媒,广告营销,沪深300,价值,A,Y,Y,Y,,Y
2025-07-11,002154.SZ,报喜鸟,消费,"高股息、社保、易方达",服装家纺,纺织服饰,服装家纺,中证2000,价值,A,Y,Y,Y,,Y
2025-07-11,600519.SH,贵州茅台,消费,"沪深300 白酒龙头",白酒,食品饮料,白酒,沪深300,价值,A,Y,Y,Y,Y,Y
2025-07-11,300750.SZ,宁德时代,新能源,"动力电池 储能 全球份额高",动力电池,电力设备,电池,创业板指,成长,A,Y,Y,Y,Y,Y

